AMUNETALL
AEV_comments
AEV_tot_duration
AEV_mean_duration
AEV_mean_angdev
AEV_mean_pathdiff
AEV_mean_toterror
AEV_mean_distdev
AEV_std_toterror
AEV_se_toterror
AEV_mean_pathlength
EV_comments
EV_tot_duration
EV_mean_duration
EV_mean_angdev
EV_mean_pathdiff
EV_mean_toterror
EV_mean_distdev
EV_std_toterror
EV_se_toterror
EV_mean_pathlength
AV_comments
AV_mean_duration
AV_mean_angdev
AV_mean_pathdiff
AV_mean_toterror
AV_mean_distdev
AV_std_toterror
AV_se_toterror
AV_mean_pathlength
DV_comments
DV_mean_duration
DV_mean_angdev
DV_mean_pathdiff
DV_mean_toterror
DV_mean_distdev
DV_std_toterror
DV_se_toterror
DV_mean_pathlength
SCS_comments
SCS_tot_duration
SCS_mean_duration
SCS_mean_angdev
SCS_mean_pathdiff
SCS_mean_toterror
SCS_mean_distdev
SCS_std_toterror
SCS_se_toterror
SCS_mean_pathlength
SCD_comments
SCD_tot_duration
SCD_mean_duration
SCD_mean_angdev
SCD_mean_pathdiff
SCD_mean_toterror
SCD_mean_distdev
SCD_std_toterror
SCD_se_toterror
SCD_mean_pathlength
SES_comments
SES_tot_duration
SES_mean_duration
SES_mean_angdev
SES_mean_pathdiff
SES_mean_toterror
SES_mean_distdev
SES_std_toterror
SES_se_toterror
SES_mean_pathlength
SAS_comments
SAS_tot_duration
SAS_mean_duration
SAS_mean_angdev
SAS_mean_pathdiff
SAS_mean_toterror
SAS_mean_distdev
SAS_std_toterror
SAS_se_toterror
SAS_tot_duration
SAS_mean_pathlength
SAD_comments
SAD_mean_duration
SAD_mean_angdev
SAD_mean_pathdiff
SAD_mean_toterror
SAD_mean_distdev
SAD_std_toterror
SAD_se_toterror
SAD_mean_pathlength
SED_comments
SED_mean_duration
SED_mean_angdev
SED_mean_pathdiff
SED_mean_toterror
SED_mean_distdev
SED_std_toterror
SED_se_toterror
SED_mean_pathlength
