ACCELEROMETRY
day
valid_day
valid_min
counts_vert
counts_ap
counts_ml
counts_sum
counts_mag
cpm_vert
cpm_ap
cpm_ml
cpm_sum
cpm_mag
steps
sed_min
light_min
life_min
mod_min
vig_min
lightlife_min
mvpa_min
active_min
sed_percent
light_percent
life_percent
mod_percent
vig_percent
lightlife_percent
mvpa_percent
active_percent
mvpa_counts_vert
mvpa_counts_ap
mvpa_counts_ml
mvpa_counts_sum
mvpa_counts_mag
num_mvpa_bouts
num_vig_bouts
mvpa_bouted
vig_bouted
guideline_min
